"indore" "kimberley" "albuquerque" "valencia" "viena" "abashiri" "tampa" "sao_paulo" "lahore" "punta_arenas" "helsinki"
-25.73 -84.7 11.97 -11.78 127.34 26.1 90.04 104.04 3.61 -33.61 56
-52.71 -80.69 2.12 -8.08 26.36 19.4 79.78 73.4 -9.28 -6.71 82
-119.63 16.37 -20.23 24.74 119.28 17.7 146.62 76.11 -71.45 -50.41 45
-199.76 -21.87 -21.63 -16.15 49.37 11.4 28.46 43.76 -98.52 -15 44.08
-249.2 -46.18 -50.39 -30.37 18.63 30.05 -40.48 93.72 -230.38 -8.47 3.08
-210.47 -5.66 -102.92 -47.62 5.2 54.85 77.86 -1.62 -354.94 -2.27 -19.67
99.45 20.12 -111.96 -70.27 -12.05 -7.56 -28.86 -36.04 -147.41 19.08 22.55
253.59 -25.52 -96.52 -86.71 -27.97 54.36 33.14 10.85 -82.47 53.33 24.71
117.42 -76.05 -21.26 2.73 -43.58 13.57 -11.49 -12.62 20.44 -11.21 3.32
-79.02 -47.39 -35.87 42.39 46.83 3.88 24.04 14.45 -87.07 -35.08 89.97
-64.47 -97.05 6.15 1.57 35.08 25.18 -26.5 105.59 -51.84 -13.98 39.74
-52.85 -19.54 -1.2 -15.76 54.99 29.1 58.21 145.53 12.4 -5.34 60
-6.83 -104.52 14.58 31.9 23 33.4 3.98 172.99 31.49 -14.31 46
-35.56 -44.82 8.57 86.3 31 28.3 22.67 148.35 -7.81 -68.27 51
-101.47 101.62 -12.85 -10.84 50.37 47.7 54.88 125.26 -25.53 -59.93 29
-178.67 -28.12 -25.97 -24.23 32.41 3.06 -7.32 83.29 -106.74 -50.17 31.84
-243.17 -30.15 -50.68 -37.52 -33.03 7.2 14.24 10.47 -182.75 -32.65 -35.73
-200.79 -19.83 -82.69 -71.22 -43.21 63.19 64.33 -23.34 -312.46 0.31 -21.15
48.49 -16.16 -71.47 -37.39 -40.58 -29.5 32.27 11.96 7.75 8.31 -44.56
139.98 -36.22 -56.24 -92.89 -26.53 22.45 74.52 18.6 -170.8 -5.97 -19.84
-79.28 3.13 -41.43 3.24 50.25 136.65 3.49 -19.17 -195.41 -4.64 -29.61
-119.05 -42.84 6.02 80.52 3.49 55.51 -75.28 -44.04 -131.26 -45.17 14.13
-62.61 -93.64 7.4 35.44 27.87 47.68 -18.18 34.59 -42.89 -34.01 58
-42.17 -10.19 -4.14 5.39 26.47 82.6 8.52 225.87 -14.85 -27.52 73
-36.74 -14.29 4.16 -8.43 45.56 24.1 -12.48 99.54 -10.4 -16.14 63
-61.64 -60.13 -8.98 6.89 50 17.8 128.05 159.83 -24.66 -69.38 16
-132 -51.45 -11.87 20.97 54.76 21.4 1.11 42.16 -45.98 -50.17 64
-203.02 -7.3 -46.8 0.76 -2.73 27.78 -36.99 -20.78 -133.87 -51.89 2
-257.85 -40.65 -59.54 35.15 33.56 44.43 -9.23 -56.84 -246.8 -11.02 59.86
-172.88 9.38 -102.02 -45.78 35.44 37.02 36.38 4.13 -265.6 -7.34 64.34
101.15 -19.42 -71.37 -83.95 40.03 50.19 57.28 -54.4 -202.46 23.4 42.67
63.01 -30.47 -79.01 -61.89 -10.27 8.11 46.95 57.12 -150.62 -12.27 25.88
63.64 100.45 -56.5 -35.45 -1.24 -27.52 133.35 -8.4 -122.35 -9.81 55.8
-54.72 -40.65 -41.49 -14.83 12.36 21.37 -11.11 8.9 -106.17 -29.89 40.93
-14.93 -36.05 10.98 76.56 -0.18 12.74 -39.69 211.44 -42.26 -22.57 44
-0.42 -94.15 20.06 6.66 93 74.9 3.16 145.48 -10.45 -82.83 49
-34.12 -105.07 -0.83 43.22 42 69.7 133.94 57.97 4.08 -49.28 60
-37.9 -59.52 9.15 -20.18 16.71 14.1 111.95 15.06 -16.72 -48.9 42
-78.36 -65.37 -8.83 -2.39 15.8 20.9 51.92 -5.11 -23.03 39.8 30.12
-158.39 -13.89 -40.23 -27.8 75.22 11.9 -37.13 29.16 -96.94 -41.51 65.69
-222.09 -7.15 -53.7 -29.29 -29.11 91.5 -42.38 49.44 -184.69 -0.15 18.38
-83.52 -14.22 -23.76 -58.07 30.67 -6.52 16.29 -22.63 -347 8.85 -10.92
325.65 -18.42 -104.79 -84.78 77.49 79.43 102.99 -24.48 -138.38 6.62 22.14
105.89 -34.76 -110.18 -86.03 49.22 14.14 4.91 -7.59 -87.9 -11.57 52.12
209.77 -60 -25.1 2.83 22.45 -0.44 152.47 6.87 -148.44 2.59 32.62
-81.47 -49.13 -43.98 -23.53 23.46 -15.61 -50.07 73.56 -119.29 -26.95 101.85
