"X1" "X2" "X3" "X4" "X5" "X6"
-19.2 -25 -50.9 -43.7 -30.2 -25.9
2.3 -6.3 -29 -22.7 -13.1 -9.5
7.8 -6.9 -56.1 -41.9 -19.9 -14.7
25.9 4.3 -42.1 -25.6 10.6 13.6
81.7 61.4 27.5 33.5 66.3 62.8
89.5 60.8 34.3 43 93.6 90.2
97.5 45 -5.4 -1.8 65.8 53.7
116 92.3 65.4 64.4 89 88
-15 -35.8 -75.7 -69.7 -9.3 -21.2
-18 -32.4 -48.3 -47.1 -26.2 -18.5
6 7.5 2.8 3.5 2.1 7
-22.5 -29.5 -54.1 -49.8 -42 -37.3
18.2 17 11.1 10.5 5.9 5.4
-9.9 -18.8 -56.9 -45.8 -21.4 -15.8
50.6 41.9 15.5 21 36.4 43.1
0.7 -31.2 -78 -66.4 -1 -1.2
31.8 3.9 -46.3 -33.1 -2.2 9
70.5 41.5 -6.1 -0.5 48.1 43.9
143 113 72.6 77.6 106.3 105.8
63.8 23.9 6 3.9 53.3 48.7
56.9 41.2 23.6 24.8 37.1 40.6
29.4 20.1 4.1 5.7 13.3 18.7
-40.2 -45.3 -81.1 -66 -53.4 -43
-51.4 -61.8 -96.4 -84.3 -56.9 -59.6
-54.6 -69.7 -103.4 -93.8 -48.7 -60.4
33.6 26.8 12.1 16.7 22.6 28
22.8 8.5 -31.7 -18.8 16.2 14.5
51 35.1 2.9 10 35.9 40.1
54.8 34.9 -6.5 4.1 36.3 43.4
59.8 26.6 -10.8 -12.3 38.7 36.7
150.7 132.5 94.6 101.3 119 119
123 104.6 89.7 90.7 105 105.6
45.3 22.6 0 4.2 23.6 31.8
25.7 20.2 -5.3 1.4 9.6 14.3
6.5 5.9 -15.5 -10 -14.5 -6.8
-65.1 -77.2 -120.2 -104.9 -91.6 -83.4
-45.7 -56.9 -96.9 -86.1 -66.4 -61.7
2.1 -5.3 -42.2 -33.2 -23.9 -17
17.4 4.7 -27.8 -16.9 4.6 9
57.1 37.3 6.8 14 47.1 45.4
96.5 77.2 43 50 75.1 77.1
58.8 21.1 -23.4 -22.4 37.8 32.3
169.9 151.4 127.6 131.8 146.8 147.4
125.6 103.6 80.3 81 101.7 103.3
57 40.4 25.2 24.8 45.4 44.5
37.5 36 19.2 24.1 37.3 40.8
3.1 3.4 -10.1 -7.2 -3.9 0.9
-13.1 -13.5 -36.5 -30.4 -32.9 -20.9
-32.2 -44 -73.3 -68.7 -56.3 -52.2
28 23.8 10 9.1 13.5 16.9
49.3 36.2 7.7 15.4 22.5 28.8
53.5 34.6 -4.2 8.9 35.6 38.9
44.2 14.2 -28.6 -20.6 24.7 19
83 49.1 11.5 13.5 61.8 55.8
142 113.9 75.6 84.1 121.2 121.6
103.5 76.9 48 48.5 68.4 71
10.2 -12.7 -43.3 -35.7 -6.7 -4.7
21.9 15.2 1.1 3.1 8.9 12
-66.9 -72.9 -118.4 -104.1 -88.2 -76.4
-0.7 -3.8 -14.2 -11.6 -8.4 -5.2
-4.7 -11.3 -36.4 -27.4 -27.1 -21.9
-13.7 -22.5 -65.5 -52 -37.3 -33.4
9.4 -6.9 -45.6 -35 9.3 11.6
-20.5 -52 -107 -92.3 -33.7 -35.8
92 74.8 44.3 49.9 74 71.7
134.8 113.5 89.4 90.9 119.6 117.5
120.5 85.9 48.1 48.6 96.2 87.8
154.1 137 120.1 119.2 134.8 132.5
72.2 55.3 42.6 45.8 69.4 69.3
-3.8 -15.9 -52 -41 -23.8 -18
-2.3 -5.7 -30.9 -23.4 -29.3 -25
-83.4 -101.1 -159.3 -140.8 -123.8 -108.6
