"YEAR" "MONTH" "PRCP" "TMAX" "TMIN" "TMED" "AWND" "TSUN" "ACSH"
1980 1 46.3 4.16 -4.91 -0.38 NA 3.96 76.45
1980 2 20.7 3.04 -7.33 -2.14 NA 5.75 68.28
1980 3 101.3 10.96 -0.45 5.26 NA 7.24 59.03
1980 4 27.2 19.24 5.48 12.36 NA 9.28 55.67
1980 5 67.5 23.58 11.33 17.46 NA 10.01 65.81
1980 6 34.1 33.22 19.99 26.61 NA 11.81 45.33
1980 7 12 40.48 24.45 32.46 NA 13.14 23.23
1980 8 95.4 36.3 22.84 29.57 NA 11.08 41.94
1980 9 17 30.63 17.33 23.98 NA 9.05 56
1980 10 31.8 22.7 7 14.85 NA 9.35 26.77
1980 11 13.8 15.12 1.43 8.28 NA 6.19 49
1980 12 53.6 8.55 -3.14 2.71 NA 5.67 65.81
1981 1 6.4 8.2 -5.92 1.14 NA 6.77 48.06
1981 2 5.6 11.72 -2.77 4.47 NA 8.54 47.86
1981 3 54.9 15.4 1.95 8.67 NA 8.22 58.71
1981 4 9.8 25.04 10.18 17.61 NA 10.76 57
1981 5 160.7 22.62 11.31 16.96 NA 9.63 72.9
1981 6 108 31.45 19.53 25.49 NA 10.96 65
1981 7 32.3 34.38 22.87 28.63 NA 9.25 58.39
1981 8 67.3 32.06 19.17 25.61 NA 9.04 51.61
1981 9 57.2 29.05 15.32 22.19 NA 9.56 37.33
1981 10 119.1 18.01 8.5 13.25 NA 4.36 69.68
1981 11 74.5 13.99 2.62 8.3 NA 5.13 61.33
1981 12 7.4 5.33 -4.38 0.47 NA 5.26 59.68
1982 1 42.8 2.45 -9.64 -3.6 NA 6.33 56.77
1982 2 19.5 3.61 -8.11 -2.25 NA 7.46 56.79
1982 3 52 14.26 1.2 7.73 NA 8.21 60.65
1982 4 18.6 18.93 4.95 11.94 NA 9.86 57
1982 5 198.6 23.81 13.21 18.51 NA 7.37 64.52
1982 6 210.4 26.75 15.91 21.33 NA 9.45 69.33
1982 7 14.3 33.65 21.26 27.46 NA 11.45 50.97
1982 8 38.6 34.28 21.24 27.76 NA 9.65 54.52
1982 9 27.5 28.7 15.63 22.16 NA 8.65 61.33
1982 10 10.5 22.3 6.56 14.43 NA 8.52 50.32
1982 11 18.7 11.9 0.28 6.09 NA 5.24 60.67
1982 12 38.4 7.51 -2.94 2.29 NA 6.21 60
1983 1 42.3 4.05 -4.45 -0.2 NA 5.35 73.55
1983 2 31.2 6.41 -2.5 1.95 NA 5.43 77.86
1983 3 108.5 11.05 1.5 6.27 NA 5.8 80.97
1983 4 96.4 14.06 3.69 8.87 NA 7.32 66.33
1983 5 103.7 22.01 9.59 15.8 NA 10.66 48.71
1983 6 187.4 27.82 15.98 21.9 NA 8.3 54.33
1983 7 98 34.57 20.54 27.55 NA 12.83 30.97
1983 8 35.4 36.25 22.7 29.47 NA 12.09 31.29
1983 9 64.2 29.14 16.08 22.61 NA 10.67 34.67
1983 10 75.6 19.53 9.9 14.71 NA 5.6 61.61
1983 11 60.7 12.69 2.32 7.5 NA 4.34 68.67
1983 12 28.7 -4.45 -12.96 -8.71 NA 4.35 71.29
1984 1 5.1 3.11 -9.02 -2.96 5.04 7.46 36.45
1984 2 31.3 12.71 -2.32 5.19 6.13 7.6 44.14
1984 3 192.4 10.12 -0.43 4.84 6.04 5.84 71.94
1984 4 94.2 16.41 5.58 10.99 6.51 7.3 58.67
1984 5 29.4 23.74 11.4 17.57 5.19 8.89 64.84
1984 6 58.6 31.61 19.12 25.37 5.35 9.88 59.67
1984 7 7.6 35 20.11 27.55 4.81 12.7 35.16
1984 8 19 35.51 20.92 28.21 4.53 11.43 45.48
1984 9 55.4 27.97 14.62 21.29 6.09 8.89 39
1984 10 70.9 20.04 9.09 14.56 5.13 4.82 71.61
1984 11 36.6 13.44 1.57 7.5 5.53 6.47 55.67
1984 12 119.9 7.68 -1.96 2.86 5.53 3.69 75.48
1985 1 6.7 1.1 -8.66 -3.78 5.33 6.66 52.26
1985 2 52.5 5.01 -5.91 -0.45 5.29 6.27 63.57
1985 3 41.7 15.46 3.49 9.48 5.84 7.25 65.81
1985 4 57.9 21.81 9.13 15.47 5.52 8.83 54.67
1985 5 50.9 26.27 13.36 19.82 5 10.18 49.03
1985 6 121.7 29.63 17.04 23.34 5.8 8.83 56
1985 7 100.9 34.45 20.7 27.57 4.66 11.02 48.06
1985 8 72.7 31.31 19.19 25.25 4.77 10.27 44.84
1985 9 151.6 26.67 15.33 21 5.96 7.53 57.33
1985 10 141.8 19.45 8.75 14.1 4.51 5.12 60.32
1985 11 40.6 9.22 -1.08 4.07 4.87 3.96 69.67
1985 12 15.6 3.49 -7.14 -1.82 5.25 7.15 45.81
1986 1 0 10.84 -4.05 3.4 5.57 9.16 30.32
1986 2 32.1 8.99 -2.54 3.23 4.93 6.15 74.29
1986 3 31 18.46 3.68 11.07 6.65 9.56 50
1986 4 45.8 21.64 8.03 14.84 6.63 10.08 59.67
1986 5 75.6 25.37 13.21 19.29 5.49 9.02 69.68
1986 6 137 31.96 19.91 25.93 4.79 9.74 68.33
1986 7 86.8 34.71 21.88 28.3 5.95 10.8 42.9
1986 8 152.6 29.57 19.23 24.4 4.81 8.25 56.45
1986 9 96.8 28.32 17.81 23.07 5.96 6.78 65.33
1986 10 91.8 19.54 8.85 14.2 4.6 5.91 61.29
1986 11 14.8 10.65 -1.89 4.38 5.42 5.85 49.33
1986 12 31 6.98 -2.79 2.09 4.37 4.56 59.03
1987 1 35.4 3.73 -6.73 -1.5 5.32 5.65 64.52
1987 2 84.5 10.99 0.38 5.68 5.12 5.68 71.79
1987 3 104.9 14.65 1.99 8.32 6.12 7.08 59.68
1987 4 15.5 21.79 6.39 14.09 5.56 10.85 43.33
1987 5 203.5 26.89 14.95 20.92 4.91 10.2 59.03
1987 6 114.4 31.18 18.19 24.68 4.65 9.98 51
1987 7 54.3 32.87 20.53 26.7 5.64 11.72 33.87
1987 8 195.5 31.99 19.86 25.92 4.67 10.21 38.39
1987 9 53.4 27.77 14.85 21.31 3.87 9.73 38
1987 10 22.9 20.05 6.3 13.18 4.82 7.51 42.58
1987 11 38.2 14.26 3.16 8.71 5.83 5.94 52.67
1987 12 57.2 6.28 -3.1 1.59 5.71 4.4 68.06
1988 1 13 2.43 -8 -2.79 5.76 6.84 45.81
1988 2 4.6 8.38 -6.05 1.17 5.49 7.59 44.83
1988 3 73.9 13.48 -0.01 6.73 6.09 7.7 54.52
1988 4 113.4 18.8 5.49 12.14 5.47 9.42 51
1988 5 61.2 26.67 13.64 20.15 6.04 10.16 49.03
1988 6 47.2 33.49 18.28 25.89 5.79 12.7 47.67
1988 7 23.2 33.82 20.46 27.14 5.42 10.74 52.26
1988 8 28 35.35 21.28 28.32 5.43 11.59 42.9
1988 9 13.5 29.35 15.08 22.21 5.68 9.12 42.33
1988 10 24 20.07 7.34 13.7 4.57 7.2 51.94
1988 11 19.6 15.14 2 8.57 5.96 8.43 39.67
1988 12 12.8 10.72 -3.49 3.61 5.08 6.9 46.45
1989 1 20.1 10.11 -2.91 3.6 5.02 6.92 48.06
1989 2 9.9 2.8 -7.84 -2.52 5.2 6.18 75.71
1989 3 60.5 16.81 -0.18 8.31 6.5 9.86 55.16
1989 4 5.9 22.43 8.18 15.3 5.68 7.92 56
1989 5 126 25.04 12.74 18.89 5.9 7.17 66.77
1989 6 202.3 27.69 16.7 22.2 4.64 8 60
1989 7 103.3 32.04 20.15 26.09 4.59 11.01 41.94
1989 8 145.2 30.27 19.74 25 5.05 7.39 57.42
1989 9 187.6 24.51 12.9 18.7 5.22 8.77 35
1989 10 9.4 23.35 8.55 15.95 5.48 8.46 39.03
1989 11 0 15.5 -0.54 7.48 5.46 8.32 38.33
1989 12 11.3 2.49 -10.09 -3.8 5.28 7.18 47.74
1990 1 43.9 10.92 -2.54 4.19 5.79 8.35 42.9
1990 2 55.6 10.04 -2.59 3.73 5.6 7.3 60.71
1990 3 68.1 13.6 2.88 8.24 5.61 6.01 67.74
1990 4 20.4 18.56 6.18 12.37 6.03 8.43 70
1990 5 32.9 23.55 11.63 17.59 5.97 10.38 68.06
1990 6 48.5 34.98 20.27 27.62 6.8 13.09 36.33
1990 7 43.7 34.33 20.85 27.59 6.09 12.76 52.9
1990 8 51.1 33.84 20.34 27.09 5.34 12.23 46.77
1990 9 49.4 30.57 16.43 23.5 4.58 8.86 45.67
1990 10 16.3 22 7.26 14.63 6.57 8.38 30.32
1990 11 51.1 16.95 3.44 10.2 6.09 5.04 51.33
1990 12 19.9 5.09 -7.11 -1.01 5.56 4.56 51.29
1991 1 14.7 3.4 -6.91 -1.75 4.61 4.76 59.68
1991 2 0 15.13 -1.24 6.95 6 9.38 44.64
1991 3 18.2 17.23 2.44 9.83 6.79 7.77 57.42
1991 4 57.8 21.09 8.74 14.92 6.12 7.04 62.67
1991 5 104 26.77 15.81 21.29 5.86 8.54 69.35
1991 6 34.1 32.31 20.17 26.24 6.11 10.9 62.33
1991 7 67.5 36.27 21.28 28.78 5.27 12.66 44.52
1991 8 192.3 33.92 19.9 26.91 4.56 11.28 45.16
1991 9 53 27.02 14.7 20.86 5.22 10.04 59
1991 10 25.4 22.59 7.88 15.24 6.06 8.34 42.26
1991 11 60.5 9.18 -0.85 4.17 5.78 5.87 61
1991 12 52.6 8.51 -0.59 3.96 4.52 4.35 59.35
1992 1 17.1 9.3 -1.58 3.86 5.14 5.48 55.33
1992 2 12 13.34 1.02 7.18 5.27 6.58 68.28
1992 3 91.5 16.48 3.43 9.95 6.21 8.57 56.13
1992 4 36.2 19.7 7.67 13.69 5.33 7.99 60.67
1992 5 87.5 23.18 11.58 17.38 5.22 8.77 63.87
1992 6 184.4 27.17 16.4 21.79 4.5 9.04 68.33
1992 7 121.2 32.37 19.73 26.05 5.76 12.45 43.87
1992 8 49.3 29.15 17.29 23.22 4.96 11.42 52.58
1992 9 74.7 28.33 15.01 21.67 6.25 10.37 38.67
1992 10 71.2 22.08 8.06 15.07 4.88 8.92 51.94
1992 11 124.6 9.22 1.02 5.12 5.16 NA NA
1992 12 29.5 5.19 -3.67 0.76 4.65 NA NA
1993 1 28.6 1.99 -5.81 -1.91 4.03 3.26 NA
1993 2 57.2 4.55 -4.39 0.08 4.62 4.77 NA
1993 3 44.5 11.34 1.01 6.17 5.2 5.5 NA
1993 4 53.7 16.94 5.82 11.38 5.77 7.28 NA
1993 5 244.4 22.32 12.62 17.47 5.12 7.86 NA
1993 6 112.9 28.98 18.21 23.59 5.63 9.46 NA
1993 7 157.8 32.98 22.24 27.61 6.02 10.78 NA
1993 8 33.2 33.45 21.01 27.23 4.75 10.65 NA
1993 9 45.2 26.78 12.5 19.64 5.25 9.26 NA
1993 10 42.7 19.45 6.39 12.92 4.68 7.25 NA
1993 11 13.9 11.2 -1.48 4.86 5.51 5.52 NA
1993 12 7.6 8.8 -2.38 3.21 4.88 5.21 NA
